site,NPP_kgCm2,ET_kgm2year
S19S_0042,58510.2576,915759.2719
S19S_0098,788828.0015,875006.1451
S19S_0098,788828.0015,875006.1451
SP-72,8426625.518,8723050.964
S19S_0097,20157490.33,21193621.93
S19S_0024,5779056.355,7092996.622
MP-101898,10461092301,13112765442
MP-101897,165783.8148,317761.5823
S19S_0011,21238768.7,29704682.8
S19S_0027,132820.2804,103920.3135
MP-102398,363769.8749,421973.9659
S19S_0025,771452.1932,1058474.44
MP-103594,1543271.362,2331788.883
EAS-RUS,144906.7228,249505.3313
EAS-BRA,42264.96017,81849.5739
EAS-ROC,63635.24146,77272.54344
SP-12,913980.8875,1250385.34
MP-102420,577541.0176,644143.6666
EAS-PUM,947765.6895,1458459.699
EAS-PUM,947765.6895,1458459.699
EAS-PUM,947765.6895,1458459.699
TAY-TAY,3885293.914,5119163.277
EAS-ALM,10324788.58,12156987.27
TAY-RES,8394008.335,10364244.06
MP-102321,24275822.4,43227637.59
MP-102322,4786016,6518454.882
S19S_0052,2794333.744,2095569.059
MP-101336,15295683.24,13132399.58
SP-21,70650436.41,51363164.75
SP-47,9444668.651,12376658.65
SP-35,6049968.443,9285920.903
MP-100819,385878208,560595879.2
MP-102055,13364626287,15336815038
MP-100981,872436157.9,1549247772
MP-100984,956865776.5,1692327064
SP-6,473439435.3,502662250.2
S19S_0069,217452.555,143001.2928
S19S_0070,189932.6094,124366.3995
SP-20,391580829.4,345099658.4
MP-102600,59942952.3,49972174.65
S19S_0071,106930.0031,78192.60005
S19S_0026,252028.3647,198510.2805
S19S_0077,37473435.23,34506460.17
GUN-GRJ,274365982.3,269602184
GUN-TUN,136231243.2,135759401.3
S19S_0062,36387914.82,38711854.36
GUN-GUN,36719997.1,39020058.15
GUN-R32,72001951.51,69885396.02
S19S_0015,261118125.5,444726730.2
S19S_0067,2176881.655,2623325.559
S19S_0017,320130.8467,440974.8929
MP-102063,1822533262,2446236517
S19S_0099,246137660.7,341251846
MP-102602,34852699.09,27902032.88
MP-101915,160871393.6,209429070.9
CT-EBRA,4175733.81,2938397.259
CT-MOOS,6441350.268,4289599.474
CT-SLPR,3686540.618,3193747.618
CT-POPE,346265.0026,245954.4565
CT-PASS,34469797.08,28547113.14
SP-18,5024557.888,3470126.227
S19S_0037,0,212978.8339
S19S_0037,0,212978.8339
S19S_0064,3188258.571,2828019.9
MP-103805,2255446.291,2791421.715
MP-100379,161074646.7,250677523.9
MP-101929,7634525.788,8350198.537
MP-102327,796454706.7,976702130.8
MP-102337,145673756,143732843.8
MP-102338,975890170.8,1098603762
S19S_0063,974683218,1096270003
MP-100019,2228441.384,2362072.24
MP-100020,2022077.357,1820080.848
MP-100021,3460051.775,3388106.412
S19S_0073,139784.7598,111725.2401
S19S_0072,314617.8024,694516.1308
MP-100068,57078693.31,39313664.05
S19S_0053,130351.7987,94980.62931
CT-PHEL,236538.4445,178242.5065
CT-BUNN,295463.1714,254042.5466
CT-NEPA,1793333.628,1472781.199
CT-UNIO,29916111.5,27996994.24
CT-FARM,51246048.23,57001114.76
CT-STIL,6941531.41,6187881.246
MP-103089,3465333.442,5291074.399
MP-100201,8786411.86,6803574.432
SP-5,908602.4892,1829880.531
MP-101584,310454276,513517464.6
MP-101583,304433643.6,502095006.9
S19S_0089,761237.0634,1307195.27
MP-101142,17729294.3,20019970.45
MP-101143,245513462.3,235916969.2
HOPB,354848.2552,325136.6645
HOPB,354848.2552,325136.6645
CT-THOM,780639391.9,706115899.6
MP-102340,105791332.7,148613486.5
MP-103531,253488283.9,211640969.8
S19S_0065,88433926.96,50823356.61
S19S_0082,0,666426.0448
S19S_0014,262173.5302,280975.0459
S19S_0054,57336364.67,102333203.8
MP-100607,296257.2941,564442.4917
MP-103149,5803074.092,10350159.02
SP-23,1892379.064,3128303.398
MP-102534,91028462.67,137600642.9
SP-66,92840203.56,136027032.9
SP-4,74024182.64,109922837.7
MP-100670,46126023.03,81883365.12
MP-100667,387741474.7,676882705.8
S19S_0044,3070718.247,5595740.635
MP-103034,712534.2573,1373455.318
MP-103021,1682911.683,4351051.451
MP-100785,32858331.43,53296570.82
MP-103975,7345892.021,13105917.34
MP-102358,272669245.6,307139148.8
S19S_0032,53241.53094,86139.05443
MP-100656,44238828.33,67132314.06
S19S_0006,0,3695187.153
S19S_0006,0,3695187.153
S19S_0006,0,3695187.153
S19S_0006,0,3695187.153
S19S_0023,29800776.08,28876684.77
S19S_0090,150561.4737,143689.7354
S19S_0009,42516170.93,53182361.83
S19S_0009,42516170.93,53182361.83
S19S_0009,42516170.93,53182361.83
S19S_0009,42516170.93,53182361.83
MP-101527,377021826.4,449128157
S19S_0043,728887.7284,672985.202
S19S_0083,9990209.892,13765462.75
S19S_0061,27180.31189,24614.51066
MP-100747,629900908.4,1137534462
MP-100747,629900908.4,1137534462
MP-100747,629900908.4,1137534462
MP-100747,629900908.4,1137534462
MP-100747,629900908.4,1137534462
MP-100749,655911395.8,1189151052
MP-102281,64235645.08,102131660.5
MP-102277,15566626.8,22999196.27
SP-1,61431385.33,71651515.86
SP-13,110273315.9,149547115
SP-10,108457342.5,147561680.7
SP-17,439792.6708,628308.8257
SP-2,740731510.3,827320202.2
S19S_0080,441862191.5,415815901.9
S19S_0066,428244669.2,391068113
S19S_0034,69535.35237,48927.9291
S19S_0034,69535.35237,48927.9291
MAYF,153638.2366,401666.6629
MAYF,153638.2366,401666.6629
SP-22,39624.93446,94851.80852
S19S_0021,328485986.1,530871380.5
S19S_0020,778910951.9,1432485742
MP-101022,1897063.684,3087049.209
S19S_0016,159522.9208,286436.5875
S19S_0040,20005.78485,33945.40185
SP-15,51374425889,62475985531
MP-101276,3351958.458,3372295.084
S19S_0028,2412215.113,1820877.565
MP-102385,2521426.401,1464833.382
S19S_0033,433935.4589,280616.0838
S19S_0008,85820.9329,41664.73588
S19S_0008,85820.9329,41664.73588
S19S_0008,85820.9329,41664.73588
S19S_0008,85820.9329,41664.73588
S19S_0019,57138.52541,61978.92172
S19S_0039,1751687.622,2293524.54
S19S_0018,183876.9241,212517.403
MP-103224,2165476.183,2410532.932
MP-100167,4832842.773,3333042.285
MP-100166,15162106.59,12208563.1
S19S_0081,0,19988023.02
MP-100598,1117383.034,1516160.799
MP-103380,191522.1221,102412.4276
MP-103357,13084002.86,24965916.45
MP-102203,5814773337,6849343227
S19S_0059,122182.9449,139023.0332
T02,277122436.3,265622638.7
S33,248077420,236344599.6
T03,197855879.1,187365243.7
S57,182485809.1,162448095.7
S82,9390039.356,8912210.093
S36,20882863.89,15419776.74
S43,7501711.62,5029021.869
S41R,6890437.49,4553652.783
S64,1473718.797,898422.8496
S34,17487300.68,14502022.32
S34,17487300.68,14502022.32
S32,9697850.313,7572480.082
S31,4062763.174,2995062.78
S30R,4243469.561,2982654.573
S63,3234873.124,2230416.019
S40,948230.9449,675129.8486
S37,1883456.831,1296251.348
S39,1045433.146,727142.9922
S63P,573041.3328,359625.6373
S42,630545.5979,421161.2157
S38,326693.1691,228263.5179
S19S_0087,160871.8761,160579.0543
S19S_0085,16806238.25,15002556.52
SP-19,94810203.4,93832010.24
S19S_0055,7851850.126,10030857.5
MP-102901,6419501.085,8182106.908
WHY-SIS,3344375.366,3468963.45
DES-BFA,93405592.78,66539327.87
